label,comment
1,Farkli bir siteden aldigimda cihaz acik kutuda geldi ve sarj kismi sorunluydu. Onu iade etmeden tekrar samsungun kendi saticisindan aldim. Paketleme cok iyidi. Cihaz sorunsuz bir sekilde elime ulasti. Annem icin aldim. Yeterli bir duzeyde.
1,ürün güzel. Paketleme daha hassas olmalı.
1,İlginiz için teşekkürler
1,Bu aldığım ikinci ürün memnun oldum tavsiye ederim pahalı telefon almaya gerek yok
1,"Ben telefonu alırken bu paraya alınabilecek en iyi cihazdi muhtemelen şimdi de oyledir. Tam istediğim gibi kamera olarak süper, harika akıcılık ,arayüz müthiş. Batarya 3500 mah filan olsa rakip tanimazdı ama yinede yoğun kullanımda bile 1 günü cikariyor..."
1,Turuncu mağazadan aynı Üründen yaklaşık 1 hafta önce bir tane daha almıştım. Çok memnun kaldım o sebepten arkadaşıma da aynısından aldım. Ürün kayıtlı orijinal ürün. Faturasını sipariş sonrası mail adresime yolladılar hemen. Severek kullanacağınız bir cihaz olacaktır eminim. Hayırlı satışlar Turuncu Mağaza
1,İphone 2-4-6serisini takip eden bir kullanıcı olarak kamerası 6 ya göre dahi hiç iyi diil.Ama diğer özellikleri muhteşem.parasının telefonu ne çok süper ne çok kötü
1,ürün fiyatı kadar ve iş görüyor. ekran süper amoled ya da amoled kadar canlı değil lakinortalama bir kullanıcının işini rahatlıkla görür. ön kamerası çok güzel. gece çekimi için denemedim ama bu fiyata çokta önemli değil açıkçası. sonuçta bir samsung ya da apple ürününe 7.500 TL verip kamerasında istenilen verimi alamayabiliyorsun. ram hızı gayet yeterli. deli gibi uygulama ve oyunindirmiyorsanız cihaz sıkışmayacaktır. sonuçta android tüm ram'ı kullanma eğilimindedir. ona rağmen cihaz hızlı. parmak okuyucusu s8 ve s9'dan daha iyi ve hızlı. yüz algılaması da stabil çalışıyor. bu fiyat bandında cihaz arayanlara tavsiye ederim.
1,Turuncu Mağazadan 3 ay arayla 2 adet mi8 lite aldım. Telefon çok şık özellikle mavi olanı ayrıca telefon tam bir hız canavarı fakat güncellemeler sonrası şarjı bariz şekilde daha hızlı azalmaya başladı.fotograf kalitesi kötü değil çok iyide değil ama alınır mı bence sadece hızı için bile alınır.
1,siparisi gündüz verdim ve ertesi gün telefon elimdeydi.cok basarılı telefon .sıkıntısız alısveris tesekkürler
1,eski bir Xiaomi kullanıcısı olarak tabiki tavsiye ediyorum. Fiyat performans açısından Xiaomi ürünlerinden şaşmayın.
1,Uzun süreli araştırma sonucu karar verdim.iphone 6s cihazdan geçiş yaptım malum apple fiyatları bu kadar yüksekken tekrar iphone alamadım p20 mate20 ile bu cihazın arasında kalmıştım araştırmalar sonucu bu cihazda karar kıldım şebeke sorunu henüz yaşamadım şuanlık bi problem yok gibi inşallah da olmaz.tasarımı ise çok güzel gerçekten
1,ürün gayet güzel her hangi problem yok açılış hız efsane bence iPhone kullanıcısıydım yalan yok ama Xiaomi ile tanışana kadar fikrim tamamen değişti çok fazla para vermeye gerek yok iPhone 8 plus alacağınıza bunu alın gerisi ile bilgisayar alın :)
1,Müthis bir telefon. Kargolama hizli yapildi bu aldigim 2. Mi 8 lite bu magazadan. Global versiyon ve imei numarasi kayitli sekilde geliyor herkese tavsiye ediyorum
1,Öncelikle turuncu magazaya teşekkür ederim.çok ilgililer siparişim hızlı ve sorunsuz ulaştı.telefon hakkında şunu söleyebilirim gerçekten bu fiyata efsane bi telefon.tasarımı müthiş kamerası ve hızı cok iyi .1 bucuk aydır kullanıyorum çok memnunum birdaha telefon alacak olursam turuncu magaza aracılığıyla xiaomi marka telefon alırım.hiç düşünmeden alın gönül rahatlığıyla kullanın :)
0,ürün ekran konusunda kalitesiz çıktı. ürün bir kere hafifçe yere düşmesi sonucunda kırılmaz cam ve koruma kılıfı olmasına rağmen ekran çatlaması meydana geldi. ürünü alalı 10 gün bile olmadı ve satıcı bu konuda hiçbir şekilde yardımcı olmadı
0,ürünü alalı 10 gün bile olmadı ancak hafifçe yere düşmesi sonucunda kırılmaz cam ve koruma kılıfı olmasına rağmen ekranı catladi ve bu konuda satıcı hiçbir şekilde yardımcı olmadı
1,Gayet iyi diyebilirim.
1,memnum kaldım hemde çok
0,Kötüydü kırılmaz cam aldım ek olarak 50 TL verdim gelmedi . Bana telefon yoluyla ulaşılmasını istiyorum.
1,bu dönemde bu fiyata alınabilecek nadir güzel ürünlerden
1,Ürün çok iyi özenle kargolatılmış şekilde elime geldi teşekkür ederim
1,Kargo ve ürün oldukça sorunsuz. İthalat çıkışlı endişe edecek bir şey yok hem kayıtlı hem garantili. Endişe etmeden gönül rahatlığıyla alın telefonda fiyatına göre gayet başarılı
1,Gerçekten muhteşem bir ürün yorumlara bakarak aldım güzel bir telefon tereddüt etmeden alabilirsiniz.hızlı kargo süper paketleme...
1,Telefon elime çok hızlı ulaştı gayet iyi 2 gündür kullanıyorum başarılı
1,Ürün anlatıldığı gibiydi. Herhangi bir sorun yok.
1,Elimi çok güzel bir şekilde ulaştı içinde garanti belgesi vardı.fiyatına göre çok iyi bir telefon.Çok teşekkür ediyorum. Güvenle alabilirsiniz.
1,kesinlikle begendim
1,Üründen memnunum mağaza ürünü hızlı gönderdi teşekkürler
1,alışma sürecindeyim ama tepkileri çok hızlı ben beğendim
1,ürün çok güzel sonra bitanedaha alicam tahmin ettiğim gibi süper
1,ekranı yeterince canlı. antutuda 146000 puan alıyor. kameraları çok iyi çekim yapıyor. fakat kameralarda çözünürlülük seçimi yapılmıyor. manuel kamera modu pek manuel mod değil. sistem performansı iyi. oyun esnasında 1.4 gb ram dolu gösteriyor. 2 güne yakın batarya ömrü var.
1,Firma ve gönderi için teşekkür ederim. Kullanım sonrası bilgileri aktarmaya devam edeceğim. İyi günler dilerim.
1,"Ürünün mavi rengini sipariş etmiştim sevgililer günü yoğunluğundan olsa gerek 2 gün sonra kargoya verildi 1 gün sonra da telefon elime ulaştı. İlk gelen telefonun ekranında fabrikasyon hata vardı geri gönderip değişim talep ettim ve hiç sıkıntı çıkarmadan değiştirip yenisini gönderdiler. Yeni gelen telefonda bir soruna rastlamadım. Bu konuda içiniz rahat olsun üründe açar açmaz bir sorun gördüyseniz hemen mağaza ile iletişime geçin gayet nazik bir şekilde yardımcı oluyorlar. Bana gönderilen Delta servis değil Ritzy servis garantili bunu bilerek aldım bazen Delta bazen Ritzy olarak ithal ettiklerini söylediler ikisinin bir farkı olduğunu sanmıyorum. Elime ilk ulaştığında IMEI ve garanti kaydı gözükmüyordu bikaç gün sonra kayıt edildiğini gördüm iki hattı da kayıtlı ve garanti kaydı da gözüküyor şuan. Telefona gelince; siyahını hiç görmedim ama mavi rengi çok hoş duruyor parmak izi çok kalıyor arka tarafında cam olduğu için. Kaliteli bir hissiyatı var gayet sağlam duruyor. Uygulama açılışları, parmak izi ve yüz tanıma çok hızlı.İçinden çıkan şarj cihazı hızlı sarj destekli değil ama yine de gayet hızlı doluyor bataryası 2 güne yakın kullanım sağlıyor benim kullanımıma göre. Hoparlör sesi çok iyi net ve yüksek ses veriyor. Kamerası da fiyatına göre çok iyi diyebilirim. MIUI arayüzü çok kullanışlı açar açmaz bikaç güncelleme geldi şuan gayet güzel çalışıyor bir sorun göremedim. Alacak arkadaşlar için faydalı bir yorum olmuştur umarım bu fiyata alabileceğiniz en iyi telefon budur çok araştırıp aldım. Burdan değişim sürecinde çok yardımcı olan Recep Bey e de bilhassa teşekkür ediyorum ilgisinden dolayı."
1,"İletişim iyi,mağaza oldukça nazik. Ürün tarafıma sıkıntısız bir şekilde ulaştı. Umarım bundan sonra herhangi bir sorun olmaz. Teşekkürler"
1,dayanıklı şarz sade tema ve göz alıcı tasarım 👍👍👍
1,ürün gayet güzel ve şık anlatıldığı gibi güvenilir mağaza global versiyon ve fatura kutu içinde geliyor n.11 e tşkr fazla söze gerek yok
1,ürünü pubg oynamak için aldım iyikide almışım oyunda son ayarda kasmadan oynuyorum ve fotoğrafları da gayet güzel sarji da yeterli bence Xiaomi gerçekten güzelmiş kesinlikle tavsiye ederim bu fiyata alınabilecek en iyisi
1,Hızlı ve özenli gönderi için teşekkürler. Sorunsuz bir alışveriş oldu. Puanım 10 üzerinden 10.
1,hafif ve kaliteli
1,Çok güzel telefon
1,Paketleme guzeldi
1,EVET ÜRÜN GÜZEL AMA YURT İÇİ KARGO BERBAT
1,"Teşekkürler. Satıcıya da, N11 e de"
1,tek kelime ile 10 numara.
1,Satıcıya teşekkür ederim. Söyledikleri zamanda hızlı ve güvenli teslimat..
1,"Bugüne kadar neden diğer telefonlara bu kadar para verdiğimi sorgulamama sebep oldu. Telefonu aktif kullanmama rağmen neredeyse 2 gün şarjı gidiyor. Sosyal medya, web de gezinme , müzik dinleme, anı için fotoğraf çekme gibi işler için telefonu kullanıyorsanız hiç düşünmeden alabilirsiniz."
1,Ürün gayet tatmin edici her yönden. Fiyat uygun. Görsel olarak şık. Özellikleri öğrenmeye çalışıyorum.
1,😀 teşekkürler güzel ve özenli
1,"Ürün anlatıldığı gibi beğendim. Tahminimden iyi kullanışlı. Fiyatına göre yüksek performasyon.Aynı özelliklere sahip diğer markalara 400,500 lira fazla para vermeyin."
1,10 gündür kullanıyorum gerçekten çok güzel telefon. Yakında yeni güncelleme alacakmış. İki kere tavsiye ederim
1,Ürün Harika. Çok yakışıklı duruyor. Performans olarak henüz fazla kullanamadım. Ama iyi gibi duruyor.
1,Paketleme daha iyi yapılabilirdi . Fatura vs tam .
1,KARGO Hızlı ve ürün sağlam bir şekilde geldi teşekkürler
1,Ürün anlatıldığı gibi düzenli temiz ve aynı aldigim ürün geldi Teşekkür ederim
1,Elinize sağlık her şey çok güzeldi çok beğendim
1,Evet... Aldığım cep telefonunu 3 gündür kullanıyorum ve şu ana kadar gayet güzel...
1,Telefon önerilir. Gayet güzel hiç bir sıkıntısına rastlamadım
1,Cihazın hızı kamerası güzel fakat şarjı uzun süre dayanmıyor ama parasını sonuna kadar hak ediyor
1,Teşekkürler hızlı kargo
1,Yurtiçi kargoyla gönderilmesi haricinde bir sıkıntı yok. Saat 10.30'da mağazaya gelen ürünü ertesi gün getireceğiz dediler. Gittim kendim aldım. Piyasada onca iyi kargo firması varken neden yurtiçi'yle çalışılır anlamış değilim. Mağazaya teşekkür ederim.
1,çok iyi fiyat performans ürünü bir telefon
1,Mi 8 lite çok güzel begeniyodum zaten
1,on numara telefon tavsiye ederim tek sıkıntısı kulaklık yokkkk.
1,cihaz mükemmel iPhone kullanıyordum tekrardan androide döndüm ve gayet memnunum iPhone ye milyar milyar para vermeye bence hiç gerek yok Xiaomi mi 8 lite şuanda 1500-1600 TL ye alınabilecek en iyi cihaz. tavsiye ederim.
1,"Telefon güzel ve kaliteli hoparlörün biri sesi cok az çıkıyor geri gönderip iade,tamir süreciyle uğraşmak istemedim.Almak isteyenlere tavsiye ederim bu fiyata alınabilecek güzel bir telefon .."
1,ürün anlatıldığı gibi. ürünü biliyorsanız ve almak istiyorsanız alabilirsiniz
1,telefon fiyatına göre çok başarılı bir ürün. memnun kaldım.
1,ürün gerçekten muazzem ve hızlı tşk ederiz iyi alisveristi
1,Hizli kargo ve hatasiz cihaz icin tesekkurler.
1,Ürün çok şık ve çok kaliteli. Daha öncede bir çok telefon ile kıyaslayıp öyle karar verdim. Fiyat performans telefonu.
1,bu paraya alınabilecek en iyi telefon tasarım ses kamera üst seviye telefon lara taş çıkararak kalitede
1,bataryasi 1 gun oyun oynarsaniz 20 saat falan gider ancak 2gunu cok zor cikarir birde kameranin dusuk isikta pergormansi kotu
1,Ürünü çok başarılı buldum magazada gayet güvenilir
1,"Mağaza iletişimi iyi, ürün sorunsuz delta garantili tavsiye ederim"
1,güzel anlatıldığı gibi teşekkürler
1,Ürün gayet güzel fakat telefonun kendisinde hızlı şarj olmasına rağmen içinden çıkan şarj aleti hızlı şarj etmiyor evde mi note 3 sarj aleti var test ettigimde hizli sarj oldu ama kendi sarj aleti hizli sarj etmiyor.
1,Evet gayet güzel bir ürün
1,"ürün beklentisini kesinlikle karşıladı , herşeyiyle tam istediğim gibi bir telefon. mağaza çok iyi kargolama süreci yeterince hizli. ürünün tek sıkıntısı bildirim çubuğu olmaması diğer herşeyiyle mükemmel diyebilirim."
1,Kargo yapmaları 2 gün sürdü bu konuda biraz yavaş olsalar da ürün temiz düzgün ve özenli bir şekilde geldi. Geri dönüşler biraz yavaş haricinde çok güvenilir bir satıcı
1,mi 8 lite çok iyi cihaz bence
1,"urun cok guzel, kamera beni sasirtti"
1,Tam bir F/P ürünü.
1,ilk defa xiaomi telefon aldım kullandıkça görücez iyi mi kötü mü
1,ürün bilenler düşünmeden alsın
1,Güvenle alıp kullanabileceğiniz bi ürün bu paraya böyle bi cihaz zor bulunur
1,Harika bir telefon pahalı cihazlara çok paralar vermeye gerek yok tavsiye ederim
1,"Kolay kolay beğenmem ama elma işaretli telefonlara boşu boşuna para vermeye gerek yok. Mis gibi telefon, şu an mi8 lite'dan yazıyorum :)"
1,süper bir telefon. parasını fazlası ile hak ediyor. düşünmeden alınabilir. :)
1,Bu fiyat politikasını devam ettirirse xiaomi 4-5 yıl içinde satış oranlarında ilk sıraya oturacaktır
1,Ürün hakkında çok fazla araştırma yaptım olumlu olumsuz yorumlar gördüm ama şu an telefon elimde ve hiç bir olumsuzluk göremiyorum kıyaslama yapanlar 7 8 bin liralık cihazlarla kıyaslayıp bazı özelliklerine olumsuz yorumlar yapmışlar ama parasını fazlasıyla hakeden bir cihaz gönül rahatlığıyla alabilirsiniz ben çok beğendim. Turuncumağaza ya teşekkürler.
1,"Güzel, performanslı, hafif telefon. Tavsiye ederim."
1,Cihaz gayet iyi. 2 imei kayıtlı. SD kart desteği var çift simli delta garantili ve kılıf çıkıyot faturasıda geldi
1,Tek olumsuz yanı ayrı kulaklık girişinin olmaması
1,Güzel ürün mavi rengi Harika Apple 7 Plusla çocuğum değişmiyor
1,telefon henuz kulanmaya basladim fiyatina gore cok iyi cok memnun kaldim hem dis goruntu ve kullanim hem ekran kalitesi vs guzel suan cok memnunum
1,Ürün elime zamanında ulaştı paketlemede gayet özenli yapılmış teşekkür ediyorum
1,ürün segmentine göre çok çok iyi bir telefon bu kadar beklemiyodum araştırdım alırken ama gelen ürün beklentimi fazlasıyla karşıladı ürünün kamerası düşük ışıkta güzel çekmiyor ama yeni gelen güncellemeyle düzelicekmiş android pie güncellemesi alacak bu telefon kaçırmayın derim bu fiyata böylesine güzel bir telefon aldığım için seviniyorum. üründe tek eksik bence NFC olmazsa olmaz değil ama olsaydı güzel olurdu.
1,"Cumartesi siparis verirseniz pazartesiyi beklemeniz gerekiyor. Gelen ekran koruyucu ince ve esnek normalde daha sert ve kalın olması gerekiyor diye biliyorum onun dışında anlatıldığı gibi global versiyon ve delta garantili geliyor, sorunsuz teslim aldım teşekkürler."
1,"Verilen tarihten bir gün önce geldi, paket gayet iyiydi ezilme falan yoktu. Kutuda garanti belgesi kartı vardı delta servisin, bir adet ince kılıf vardı, kulaklık için bir adet çevirici ve şarj kablosu vardı. Dünden beri kullanıyorum gayet kullanışlı ve ele oturan bir telefon zaten, anlatıldığı gibi bence. Aynı zamanda imei numaralarının ikisi de kayıtlı, gayet güzel bir alışverişti. Teşekkür ederim ilgililere"
1,Beğendim. Keşke nano camda da sorun yaşamasaydım daha iyi olacaktı.
1,SÜPER ÖTESİ....İLGİLİ DÜRÜST VE HIZLI SATICI...
1,Elinize aldığınızda ağırlığından anlayacaksınız kaliteyi süper telefon tavsiye ederim
1,"Hızlı kargolama, ürün paketide gayet özenli, mağaza sorulara kibarca cevap veriyor, mağaza da ilgili. Cihaz ise, fiyat kalite bağlamında beklentileri fazlasıyla karşılıyor. Temiz alışveriş, teşekkürler."
1,Ne iyi ne kötü. bir ı phone- samsung asla değil. xiaomi nin epey yolu var..digerleri pahali oldugu icin alinabilecek bir ürün.ürünü aldiginizda yanında iyi bir şarj aleti alın. gelen ürün çok dandik.
1,"Telefondan genel olarak memnunum fakat Instagramdaki videoları piksel piksel gösteriyor üzerindeki yazıları da öyle gösteriyor, bu sorunu yaşayan var mı?"
1,Evet gayet beğendim kesinlikle 👍
1,evet beğendim tavsiye ederim
1,Delta garantili sorunsuz gorunuyor
1,telefon canavar bu paraya bedeva
1,urun elime ulasti 3 ay hic bir skintisi yoktu ama birden kapandi ve acilmadi urun ne yere dustu ne su kacti servise gonderdim ins sorun cozulur guvenim sarsildi
1,ürün sorunsuz bir şekilde elime ulaştı güvenilir satıcı hızlı alışveriş teşekkür ederim
1,TEŞEKKÜRLER ÜRÜN ÇOK İYİYİDİ KULAKLIK OLSA DAHA İYİ OLURDU
1,bu fiyata en jyisi
0,delta garantili diye gönderilen telefon fizy garantili çıktı
1,şuan herşey çok iyi
1,Ürünün yanında temperli cam da istedim geldi hiç sıkıntı yok gittim taktırdım camı tamperli camın altından ana ekran kırıldı tamperli cam sağlam
1,Yurt İçi kargo farkıyla ve firma titizliği ile hızlı teslimat oldu. Teşekkür ederim.
1,artık pubg daha güzel :)
1,iPhone 6s plustan geçtim ve başarılı bir telefon gerçekten. kutudan sadece kulaklık çıkmıyor ne yazık ki. sadece bu canımı biraz sıktı ama telefonun yanında devede kulak bir sorun sayılır sıkıntı değil. rahatlıkla alabilirsiniz
1,ürün anlatildigi gibi almanızı tavsiye ederim 300ⁿ 4000 lira para verip iPhone samsung alicaginiza 1900 e bunu alın daha iyi ayni performansı sağlıyor tek sıkıntı telefonun ekranı çentikli olması oyunlar tam ekran olmuyor YouTube'dan videolar tam ekran modda yazılar çerçeve kenarlarinda gözükmüyor whatsapp durumda yazılar centigin üzerine geliyor tek sıkıntı ekran uygulama orantisi bir değil oda miu pieyle alakalı güncellemelerle düzeltilir gibime geliyor.
1,"Tşk ederim hızlı teslimat, telefon gerçekten çok iyi bu paraya değer 😀"
1,ürün incelemesini yapmıştım bu fiyata gayet güzel bir ürün
1,Turuncu mağaza ilgiliydi. Ürünü kılınıyor um.Gerçekten çok memnun kaldım. Teşekkürler.
1,2 gündür kullanıyorum ve herhangi bir sorunla karşılaşmadım hızlı kargo her şey anlatıldığı gibiydi 2 IMEI de kayıtlı içiniz rahat olsun.
1,cihazı uzun süre araştırarak aldım. daha evvel alan bir kaç kişiyle de irtibata geçtim. 1 haftadır cihaz bende. 128-6 GB olan modeli aldım. kesinlikle tavsiye ediyorum. yani Apple o kadar para vermenize asla gerek yok. genel kullanımda hiç bir sorun görmedim. aramalarda ki ses kalitesi müzik sesi hat çekme durumu (türk Telekom) hiç bir sorun yok. oyun oynayan da birisiyim cihaz pubg ve pes2019 Mobile gibi yüksek grafikli oyunlarda full grafikle test ettim ne bir ısınma ne bir kasma hiç bir sorun görmedim. alacak arkadaşlar şüphe duymadan alabilirsiniz. özellikle soru sormak isteyen olursa mail adresim akdemir_mustafa@hotmail.com
1,performansı birçok popüler markalar kadar iyi. 2-3 katı para ödeyerek iPhone yada Samsung ürünlerini almak akıllıca değil. çok memnun kaldım
1,foto video çekimi orta seviye geriye kalan özellik ler on numara
1,"Yorumları okuyup karar verdim, aslında samsung s8 almayı planlıyordum fakat bu telefon her yönüyle ideal. Turuncu mağazaya teşekkür edrim paketleme güzel, imei kayıtlıydı ancak birazcık geç geldi o da önemli değil. Arkadaşlar şarjı bana 2 gün yetiyor (oyun oynamıyorum) Kısacası Tereddüt yaşamanıza gerek yok. Mağaza da telefon da çok iyi. Benim de param cepte kaldı. (1890 tl nano camla birlikte verdiğim fiyat )"
1,Ürün Muhteşem. Tavsiye Ederim Alacak Arkadaşlara
1,ürün oldukça iyi. verdiğiniz paranın karşılığını fazlasıyla alabilirsiniz. istediğim tüm detaylar bu telefonda mevcut
1,telefon ekine ulaştığı andanitibaren kullanıyorum. çok memnunum
1,ürün geldi bugün 13 Şubat'ta sipariş verdim 15 Şubat'ta elimdeydi siyah rengi istemeyerek aldım renk seçeneği kalmadığı için ama gayet güzel duruyor asil bir renk performans da bı sıkıntı yok şimdilik herşey güzel
1,Süper cihaz. Bir arkadaşıma almıştım. şimdi de kendime aldım cihazı. çok seri akıcı bir telefon. bu fiyata bu kalite mükemmel değil mükemmel :))
1,Evet ürün güzel ayrıca oldukça hızlı. Telefona çok para vermeye gerek yok. Bu cihaz ile tüm işlerinizi rahatlıkla yapabilirsiniz.
1,ÖNCELİKLE TURUNCU MAĞAZAYA İLGİ VE ALAKALARI İÇİN ÇOK TEŞEKKÜR EDİYORUM BÜTÜN SORULARIMA SABIRLA CEVAP VERDİLER. ÜRÜNE GELİNCE 128 GB DEPOLAMA KAPASİTESİ GAYET YETERLİ VE 6 GB RAM İLE BÜTÜN İŞLEMLERİN TAKILMADAN ALTINDAN KALKIYOR CİHAZ ÇOK GÜZEL MAVİ RENGİ Bİ BAŞKA GLOBAL VERSİYON OLARAK GELİYOR VE TAMAMEN ANLATILDIĞI GİBİ BU ARADA BATARYA KAPASİTESİ AZ DİYE ENDİŞELENMEYİN GÜNÜ ÇOK RAHAT ÇIKARIYOR
1,"ürün çok güzel, hızlı ve kullanışlı. mağazanın özenle paketlemesi ve kargonun hızlı ulaşması çok iyi. almak isteyen herkese bu mağazadan ve bu telefondan almasını tavsiye ederim."
1,ürün özellikleri süper yalnızca mağaza idare lambası
1,cok guzeldi begendim
1,güvenle alışveriş yapılabilecek bir mağaza teşekkürler
1,Güzel ürün hızlı kargo
1,"Telefon gercekten harika bu fiyata bu özellik bulunmaz, herkese tavsiye ederim"
1,Ürün uygun fiyat bandında olup tüm beklentilerinizi karşılayacaktır. 6/128 mavi seçeneğini tavsiye ederim. Ekran koruyucuyu da beraber sipariş verin. Kutudan şeffaf kılıf çıkıyor. İnternetten kopma şikayetlerini yaşamadım.
1,harikaydi keske daha once alsaydim ozellikle 128 gb ve 6 gb ram olan modeli super
1,Tam bir f/p ürünü..
1,evet cok begendim kesinlikle samsungtan daha iyi
